price,accommodates,bedrooms,bathrooms,cleaning_fee,availability_90_days,district,host_respons_time,host_response_rate,host_superhost,host_listings_count,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,kitchen,tv,coffe_machine,dishwasher,terrace,bathtub
47,2,1,1,40,36,Treptow - Köpenick,within an hour,100,yes,1,10,10,10,10,10,10,yes,no,yes,no,yes,no
79,4,1,1,50,60,Pankow,within an hour,100,no,2,10,9,10,10,10,9,yes,yes,yes,no,no,no
35,2,1,1,15,4,Charlottenburg-Wilm.,within a day,67,no,1,9,9,9,8,9,9,yes,no,yes,no,no,no
29,3,1,1,29,25,Mitte,within an hour,100,no,2,10,10,10,10,9,10,no,no,yes,no,yes,no
120,7,3,2,40,63,Mitte,within an hour,100,yes,4,10,10,10,10,10,10,yes,yes,yes,yes,no,no
40,2,1,1.5,0,53,Tempelhof - Schöneberg,within an hour,100,no,1,10,10,10,9,10,10,yes,yes,yes,yes,no,no
80,4,2,1.5,30,10,Friedrichshain-Kreuzberg,within an hour,100,no,1,8,7,9,9,9,9,yes,yes,yes,yes,yes,yes
40,2,1,1,20,86,Friedrichshain-Kreuzberg,within an hour,100,yes,1,10,10,10,10,10,10,yes,no,no,yes,no,no
99,4,1,2.5,50,90,Charlottenburg-Wilm.,within a day,80,no,1,9,8,9,10,10,9,yes,yes,yes,yes,yes,no
49,3,1,1,20,0,Pankow,within a few hours,100,no,2,10,10,10,10,9,9,yes,no,yes,yes,no,no
89,3,1,1,40,85,Friedrichshain-Kreuzberg,within an hour,94,yes,10,10,9,10,10,10,9,yes,yes,yes,yes,yes,no
70,4,1,1,0,30,Pankow,within an hour,100,no,1,10,8,10,10,10,9,yes,no,no,no,yes,yes
24,4,1,1,18,40,Reinickendorf,within an hour,100,yes,1,10,10,10,10,9,10,yes,no,no,yes,no,yes
90,4,1,1,0,12,Spandau,within an hour,100,no,1,10,10,10,10,10,9,no,no,no,no,no,no
40,1,1,1,10,69,Charlottenburg-Wilm.,within a day,88,no,1,10,10,10,10,10,10,yes,yes,no,no,no,no
129,6,0,1,50,67,Friedrichshain-Kreuzberg,within an hour,100,yes,1,10,10,10,10,10,9,yes,yes,yes,yes,no,no
39,3,1,1,30,15,Tempelhof - Schöneberg,within an hour,100,yes,1,10,10,10,10,9,9,yes,no,no,yes,no,no
39,2,1,1,15,83,Pankow,within a day,100,no,1,10,9,10,10,10,9,no,no,no,no,no,no
